,country,province,region_1,name,location,latitude,longitude
0,Portugal,Douro,,"Portugal, Douro","Douro, Norte, Portugal",41.17004195,-7.30474981173576
1,US,Oregon,Willamette Valley,"US, Oregon, Willamette Valley","Willamette, West Linn, Clackamas County, Oregon, 97068, USA",45.3442868,-122.66703740000001
2,US,Michigan,Lake Michigan Shore,"US, Lake Michigan Shore, Michigan","Michigan Shores Drive, Bay Shore, Charlevoix County, Michigan, 49720, USA",45.365871999999996,-85.114064
3,Spain,Northern Spain,Navarra,"Northern Spain, Spain, Navarra",España,39.3262345,-4.838064900000001
4,Italy,Sicily & Sardinia,Vittoria,"Vittoria, Italy, Sicily & Sardinia",Italia,42.6384261,12.674297
5,France,Alsace,Alsace,"Alsace, France","Alsace, D 201, Kintzheim, Sélestat-Erstein, Bas-Rhin, Grand Est, France métropolitaine, 67600, France",48.24917645,7.4074699518555
6,Germany,Rheinhessen,,"Germany, Rheinhessen","Harxheim, Bodenheim, Landkreis Mainz-Bingen, Rheinland-Pfalz, 55296, Deutschland",49.904518100000004,8.271108199999999
7,US,California,Napa Valley,"US, Napa Valley, California","Napa Valley, Cold Spring, Campbell County, Kentucky, 41076, USA",39.0234679,-84.45046479999999
8,US,California,Alexander Valley,"US, Alexander Valley, California","California, Cincinnati, Hamilton County, Ohio, 45228, USA",39.0652059,-84.4272386
9,US,California,Central Coast,"US, Central Coast, California","California, USA",36.7014631,-118.75599740000001
10,Germany,Mosel,,"Germany, Mosel","Mosel, Koblenz, Rheinland-Pfalz, 56070, Deutschland",50.3659752,7.585825099999999
11,Argentina,Other,Cafayate,"Other, Cafayate, Argentina","Other Look, Belgrano, Quilmes, Partido de Quilmes, Bs. As., 1877, Argentina",-34.7165244,-58.275414000000005
12,Argentina,Mendoza Province,Mendoza,"Mendoza Province, Mendoza, Argentina","Ciudad de Mendoza, Sección 2ª Barrio Cívico, Departamento Capital, Mza., Argentina",-32.8897294,-68.8442956
13,Spain,Northern Spain,Ribera del Duero,"Northern Spain, Spain, Ribera del Duero",España,39.3262345,-4.838064900000001
14,US,Virginia,Virginia,"US, Virginia","Virginia, USA",37.1232245,-78.4927721
15,US,Oregon,Oregon,"US, Oregon","Oregon, USA",43.9792797,-120.737257
16,Italy,Sicily & Sardinia,Sicilia,"Sicilia, Italy, Sicily & Sardinia",Italia,42.6384261,12.674297
17,US,California,Paso Robles,"US, California, Paso Robles","Paso Robles, San Luis Obispo County, California, 93446, USA",35.6267654,-120.6912456
18,US,California,Sonoma Coast,"US, Sonoma Coast, California","California State Parks, Coast Highway, Carmet, Sonoma County, California, USA",38.400180999999996,-123.0935586
19,Italy,Sicily & Sardinia,Cerasuolo di Vittoria,"Cerasuolo di Vittoria, Italy, Sicily & Sardinia",Italia,42.6384261,12.674297
20,US,California,Clarksburg,"US, Clarksburg, California","Clarksburg, Yolo County, California, 95612, USA",38.4204651,-121.52717720000001
21,US,California,Dry Creek Valley,"US, Dry Creek Valley, California","California, USA",36.7014631,-118.75599740000001
22,US,California,Sonoma Valley,"US, Sonoma Valley, California","Sonoma State University, 1801, East Cotati Avenue, Sonoma County, California, 94928, USA",38.33982655,-122.67341915735399
23,US,Oregon,McMinnville,"US, Oregon, McMinnville","McMinnville, Yamhill County, Oregon, 97128, USA",45.2100367,-123.19446299999998
24,Chile,Colchagua Valley,,"Chile, Colchagua Valley","Colchagua, Provincia de Colchagua, Región del Libertador General Bernardo O'Higgins, Chile",-34.548228,-71.4013194
25,Italy,Southern Italy,Puglia,"Puglia, Italy, Southern Italy",Italia,42.6384261,12.674297
26,France,Beaujolais,Beaujolais,"Beaujolais, France","Beaujolais, Rue du Macônnais, Hauts de Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 73000, France",45.5906506,5.917992400000001
27,Chile,Maule Valley,,"Chile, Maule Valley","Región del Maule, Chile",-35.5972284,-71.48868
28,US,California,Lake County,"US, Lake County, California","California, 16th Street, Central Business District, Denver, Denver County, Colorado, 80293, USA",39.7451627,-104.9920264
29,US,Virginia,Monticello,"US, Monticello, Virginia","Monticello, Monticello Loop, Woolen Mills, Albemarle County, Virginia, 22909, USA",38.01032755,-78.4523439044681
30,France,Beaujolais,Brouilly,"Beaujolais, Brouilly, France","Beaujolais, Rue du Macônnais, Hauts de Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 73000, France",45.5906506,5.917992400000001
31,France,Bordeaux,Bordeaux Blanc,"Bordeaux, Bordeaux Blanc, France","Avenue de Bordeaux, Carbon-Blanc, Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33560, France",44.8919266,-0.502713
32,US,California,North Coast,"US, North Coast, California","California, USA",36.7014631,-118.75599740000001
33,Chile,Maipo Valley,,"Chile, Maipo Valley","Maipo, Buin, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.7328646,-70.7812358
34,US,Washington,Columbia Valley (WA),"US, Washington, Columbia Valley (WA)","State Route 261, Pataha, Columbia County, Washington, 99359, USA",46.552538899999995,-118.1790763
35,Italy,Central Italy,Romagna,"Romagna, Central Italy, Italy",Italia,42.6384261,12.674297
36,US,California,Santa Ynez Valley,"US, Santa Ynez Valley, California","California, USA",36.7014631,-118.75599740000001
37,France,Burgundy,Chablis,"Chablis, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
38,France,Burgundy,Mâcon-Milly Lamartine,"Mâcon-Milly Lamartine, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
39,US,California,California,"US, California","California, USA",36.7014631,-118.75599740000001
40,US,California,Howell Mountain,"US, Howell Mountain, California","Howell Mountain, Napa County, California, 94508, USA",38.5802188,-122.43138359999999
41,US,California,Calistoga,"US, Calistoga, California","Calistoga, Napa County, California, 94515, USA",38.578796600000004,-122.5797054
42,Australia,South Australia,South Australia,"Australia, South Australia","South Australia, Australia",-30.534366499999997,135.6301212
43,Chile,Rapel Valley,,"Chile, Rapel Valley","Rapel, Provincia de Cardenal Caro, Región del Libertador General Bernardo O'Higgins, Chile",-33.9434247,-71.73807940000002
